"AFFGEOID","long","lat","cluster","pvalue","realm","er_fraction","X1","X2","Civilians_Employed_Over_16_delta","Gini_Index_delta","Median_Income_Households_delta","Number_Employed_NAICS11_Industry_delta","Number_Employed_NAICS71_Industry_delta","Number_Households_delta","pct_bachelors_degree_higher_delta","pct_highschool_graduate_equivalency_delta","pct_highschool_graduate_or_higher_delta","pct_less_than_highschool_graduate_delta","pct_some_college_associates_degree_delta","Percent_Population_Poverty_Status_Determined_delta","Population_18to24years_delta","Population_25years_older_delta","Population_Poverty_Status_Determined_delta","Total_Population_delta","RetireTotal","RetirementIncome","NoRetirementIncome"
"0600000US4101390765",-120.232975414441,44.0518554521756,10,0.576852982272427,"Cool Temperate Moist Forest on Mountains",0.479658330398027,-0.336883803803239,0.301305844336655,259,-0.0479,12969,-46,26,254,1.8,2.9,-0.599999999999994,11.7,-9,-6.4,-102,757,632,763,1816,686,1130
"0600000US4101392550",-121.016515207508,44.2521113579655,2,0.847463510499166,"Cool Temperate Moist Forest on Mountains",0.34835299770434,-0.983599622241498,0.219223652868851,282,0.0893,28465,24,100,-11,-0.5,-39.3,2.09999999999999,45.4,-6.1,-6.5,152,270,267,360,965,391,574
"0600000US4101392592",-120.596100076859,44.3945909959652,1,0.559248879386333,"Cool Temperate Moist Forest on Mountains",0.263227041534506,0.242699527232532,0.0959845858924988,917,0.0356,6993,-46,142,600,7.4,1.9,6.40000000000001,-1.8,-1.7,-2.7,-7,863,1099,373,6807,1980,4827
"0600000US4101590357",-124.136715366975,42.3001405246496,10,0.806862091846452,"Cool Temperate Moist Forest on Mountains",0.647623201046664,-0.20354948385228,0.42005690346389,-162,-0.0507,14453,27,-100,-104,8.2,16,1.60000000000001,0,-20.8,0.9,-221,127,-153,-290,4010,1151,2859
"0600000US4101591207",-124.360101635817,42.4959045436815,5,0.474834542770912,"Cool Temperate Moist Forest on Mountains",0.954674394400114,-0.173990369809126,0.159564458772496,-61,0.0473,10136,133,106,258,-0.899999999999999,-4.5,2.5,18.6,-11.2,-3.7,-86,662,443,747,2575,815,1760
"0600000US4101591275",-124.020803591004,42.0839923701521,4,0.387672055257942,"Cool Temperate Moist Forest on Mountains",0.3938340972941,-0.0749455567337655,-0.437851429903226,-78,0.026,2667,-97,-86,257,1.9,8.99999999999999,-9.60000000000001,-12.6,4,-1.6,104,504,725,249,2557,1067,1490
"0600000US4101592533",-124.343939907765,42.8203983197751,4,0.474903766937453,"Cool Temperate Moist Forest on Mountains",0.715537931754148,0.111087186167687,-0.423479011889118,-162,-0.0271999999999999,1218,-90,-31,-191,5.7,-9.1,4.3,-1.2,10.4,0,-41,-408,-707,-404,1374,335,1039
"0600000US4101790306",-121.203114327309,44.0822269961844,9,0.879298456441612,"Cool Temperate Moist Forest on Mountains",0.687920875420875,0.863286023137838,-0.133928279697883,11497,0.0227,14167,296,104,6249,6.1,-6.7,1.2,1.8,-3.40000000000001,-1.3,758,14726,17898,20493,42738,9296,33442
"0600000US4101792635",-121.18908148288,44.2736702502031,8,0.780497621132135,"Cool Temperate Moist Forest on Mountains",0.5185086862337,0.624895563709992,0.0086724611667017,5185,-0.00540000000000002,21466,-177,910,1378,1.5,-11,-1.40000000000001,5.8,5.1,-6.6,-138,4715,4128,5616,15285,3286,11999
"0600000US4101792958",-121.220970154923,43.8634418370485,8,0.829761627543712,"Cool Temperate Moist Forest on Mountains",0.799059220841877,0.571605451031651,0.0935432778930722,2636,0.0194,18114,342,278,1629,3.5,-2.6,1.60000000000001,1.1,2.2,0,555,3579,3968,3710,12853,3600,9253
